"","Z"
"923",2.197
"924",3.807
"925",4.394
"926",4.424
"927",5.093
"928",5.256
"929",3.648
"930",3.36
"931",2.609
"932",2.324
"933",4.342
"934",4.705
"935",4.763
"936",3.88
"937",3.688
"938",4.41
"939",4.335
"940",4.751
"941",4.045
"942",4.513
"943",4.905
"944",3.897
"945",3.274
"946",4.019
"947",4.051
"948",3.889
"949",4.141
"950",4.261
"951",4.3
"952",3.134
"953",2.551
"954",3.171
"955",4.712
"956",4.839
"957",5.426
"958",4.883
"959",2.584
"960",0.104
"961",0.662
"962",1.22
"963",2.027
"964",3.154
"965",3.679
"966",5.336
"967",4.609
"968",4.749
"969",4.71
"970",5.134
"971",5.431
"972",4.62
"973",4.843
"974",5.484
"975",5.605
"976",6.431
"977",6.183
"978",6.605
"979",6.429
"980",6.433
"981",4.983
"982",4.442
"983",3.388
"984",8.855
"989",2.193
"990",1.496
"991",2.212
"992",3.176
"993",3.895
"994",4.372
"995",4.541
"996",4.524
"997",4.217
"998",4.29
"999",4.225
"1000",4.214
"1001",4.077
"1002",4.069
"1003",3.818
"1004",3.247
"1005",2.074
"1006",3.273
"1007",4.368
"1008",4.328
"1009",4.57
"1010",4.028
"1011",3.503
"1012",3.105
"1013",3.848
"1014",4.055
"1015",4.603
"1016",4.687
"1017",1.293
"1018",4.205
"1019",3.611
"1020",4.105
"1021",4.084
"1022",3.72
"1023",4.065
"1024",4.738
"1025",4.891
"1026",4.399
"1027",4.223
"1028",2.698
"1029",2.68
"1030",3.852
"1031",4.315
"1032",4.56
"1033",4.097
"1034",3.315
"1035",3.166
"1036",3.928
"1037",4.804
"1038",5.439
"1039",5.466
"1040",5.26
"1041",5.183
"1042",3.563
"1043",2.645
"1044",3.075
"1045",4.127
"1046",5.03
"1047",5.155
"1048",5.319
"1049",5.013
"1050",4.524
"1051",0.82
"1052",4.967
"1053",4.797
"1054",4.193
"1055",5.238
"1056",5.633
"1057",5.771
"1058",6.546
"1059",6.397
"1060",6.379
"1061",6.789
"1062",6.819
"1063",6.317
"1064",6.411
"1065",3.65
"1066",7.229
"1071",2.896
"1072",2.673
"1073",3.389
"1074",3.406
"1075",3.854
"1076",4.492
"1077",4.437
"1078",4.554
"1079",3.316
"1080",3.053
"1081",3.02
"1082",2.95
"1083",3.564
"1084",3.75
"1085",3.647
"1086",3.507
"1087",2.742
"1088",3.791
"1089",4.511
"1090",4.123
"1091",4.753
"1092",4.49
"1093",4.54
"1094",3.991
"1095",3.138
"1096",3.947
"1097",4.382
"1098",4.574
"1099",4.728
"1100",3.877
"1101",3.548
"1102",2.469
"1103",2.855
"1104",2.865
"1105",3.896
"1106",4.63
"1107",4.807
"1108",4.602
"1109",4.165
"1110",3.645
"1111",3.729
"1112",2.93
"1113",4.518
"1114",4.004
"1115",3.726
"1116",3.864
"1117",3.946
"1118",4.441
"1119",5.097
"1120",5.534
"1121",5.582
"1122",5.632
"1123",5.646
"1124",5.09
"1125",3.913
"1126",3.918
"1127",4.518
"1128",5.161
"1129",5.721
"1130",5.62
"1131",5.055
"1132",3.375
"1133",2.97
"1134",4.421
"1135",5.126
"1136",4.822
"1137",5.272
"1138",5.52
"1139",5.863
"1140",6.501
"1141",6.527
"1142",6.092
"1143",6.408
"1144",6.565
"1145",6.588
"1146",6.131
"1147",5.997
"1148",5.603
"1153",3.6
"1154",3.965
"1155",3.894
"1156",4.123
"1157",4.264
"1158",4.594
"1159",4.29
"1160",4.354
"1161",4.476
"1162",3.176
"1163",2.572
"1164",2.313
"1165",2.931
"1166",4.072
"1167",3.558
"1168",3.25
"1169",3.054
"1170",2.91
"1171",4.292
"1172",3.412
"1173",4.529
"1174",4.151
"1175",4.082
"1176",3.789
"1177",3.47
"1178",3.942
"1179",0.813
"1180",3.29
"1181",4.187
"1182",4.218
"1183",3.171
"1184",0.529
"1185",1.679
"1186",2.805
"1187",3.916
"1188",4.347
"1189",4.841
"1190",4.579
"1191",4.254
"1192",3.973
"1193",1.843
"1194",3.047
"1195",4.496
"1196",4.213
"1197",3.721
"1198",4.073
"1199",4.788
"1200",4.5
"1201",5.177
"1202",5.324
"1203",5.157
"1204",5.271
"1205",5.625
"1206",4.691
"1207",4.108
"1208",4.451
"1209",5.159
"1210",5.345
"1211",5.363
"1212",5.563
"1213",4.398
"1214",3.446
"1215",3.622
"1216",4.684
"1217",5.566
"1218",5.663
"1219",5.262
"1220",5.27
"1221",5.783
"1222",5.894
"1223",6.222
"1224",6.012
"1225",6.096
"1226",5.952
"1227",6.064
"1228",6.172
"1229",6.368
"1230",6.109
"1235",4.249
"1236",4.426
"1237",4.183
"1238",4.248
"1239",4.467
"1240",3.598
"1241",3.656
"1242",3.653
"1243",4.187
"1244",4.089
"1245",3.568
"1246",2.948
"1247",2.301
"1248",3.819
"1249",3.942
"1250",2.712
"1251",2.676
"1252",0.696
"1253",2.982
"1254",3.031
"1255",3.631
"1256",3.848
"1257",3.907
"1258",4.215
"1259",4.685
"1260",3.6
"1261",3.218
"1262",3.503
"1263",3.382
"1264",3.39
"1265",3.546
"1266",3.713
"1267",3.884
"1268",4.274
"1269",4.664
"1270",4.666
"1271",4.708
"1272",4.797
"1273",4.96
"1274",4.174
"1275",3.704
"1276",3.969
"1277",3.947
"1278",3.774
"1279",4.229
"1280",4.246
"1281",5.056
"1282",5.039
"1283",4.886
"1284",4.681
"1285",4.563
"1286",4.468
"1287",4.966
"1288",5.078
"1289",4.971
"1290",4.747
"1291",4.657
"1292",4.743
"1293",5.321
"1294",5.139
"1295",5.084
"1296",4.892
"1297",4.873
"1298",4.821
"1299",5.299
"1300",5.537
"1301",5.103
"1302",5.255
"1303",5.792
"1304",5.269
"1305",5.86
"1306",6.244
"1307",6.304
"1308",6.237
"1309",6.2
"1310",6.668
"1311",6.902
"1312",6.467
"1317",4.605
"1318",4.346
"1319",4.23
"1320",4.347
"1321",3.642
"1322",3.126
"1323",3.24
"1324",3.537
"1325",3.952
"1326",4.419
"1327",4.107
"1328",2.957
"1329",2.713
"1330",3.171
"1331",3.664
"1332",3.798
"1333",3.894
"1334",4.138
"1335",3.935
"1336",3.199
"1337",3.482
"1338",3.709
"1339",4.211
"1340",4.51
"1341",4.66
"1342",4.434
"1343",3.943
"1344",2.964
"1345",2.978
"1346",3.154
"1347",4.242
"1348",4.447
"1349",3.995
"1350",4.942
"1351",4.31
"1352",4.621
"1353",1.047
"1354",1.572
"1355",4.193
"1356",4.241
"1357",3.868
"1358",3.8
"1359",3.602
"1360",4.266
"1361",4.745
"1362",4.461
"1363",4.995
"1364",4.349
"1365",4.151
"1366",4.415
"1367",4.156
"1368",4.507
"1369",5.168
"1370",5.038
"1371",5.447
"1372",4.619
"1373",4.102
"1374",4.104
"1375",4.952
"1376",4.825
"1377",1.749
"1378",4.43
"1379",5.215
"1380",4.324
"1381",4.893
"1382",5.039
"1383",5.34
"1384",5.77
"1385",5.717
"1386",5.205
"1387",5.351
"1388",5.557
"1389",5.945
"1390",6.623
"1391",7.054
"1392",6.432
"1393",6.995
"1394",6.939
"1399",4.523
"1400",3.405
"1401",3.784
"1402",3.835
"1403",3.294
"1404",3.348
"1405",3.594
"1406",3.953
"1407",4.257
"1408",4.48
"1409",4.387
"1410",3.451
"1411",3.028
"1412",3.373
"1413",3.601
"1414",4.004
"1415",4.237
"1416",4.178
"1417",3.431
"1418",3.126
"1419",3.707
"1420",3.642
"1421",3.854
"1422",3.806
"1423",3.825
"1424",4.037
"1425",3.571
"1426",2.81
"1427",3.197
"1428",3.969
"1429",4.57
"1430",5.34
"1431",4.879
"1432",5.245
"1433",1.851
"1434",3.584
"1435",3.627
"1436",3.598
"1437",3.929
"1438",4.344
"1439",4.189
"1440",3.908
"1441",3.883
"1442",4.309
"1443",4.482
"1444",4.706
"1445",4.638
"1446",3.955
"1447",3.704
"1448",4.786
"1449",3.509
"1450",4.006
"1451",4.423
"1452",5.132
"1453",5.371
"1454",4.957
"1455",4.121
"1456",3.816
"1457",4.126
"1458",4.467
